Variable_1,Variable_2,Value
77: 2JN,1: EXO,0.6925307
78: 3JN,1: EXO,0.6867918
79: JUD,1: EXO,0.6729278
80: REV,1: EXO,0.37589338
0: GEN,2: LEV,0.31475684
1: EXO,2: LEV,0.52197874
2: LEV,2: LEV,1.0000002
3: NUM,2: LEV,0.67374116
4: DEU,2: LEV,0.4952625
5: JOS,2: LEV,0.4047964
6: JDG,2: LEV,0.4282982
7: RUT,2: LEV,0.59792227
8: 1SA,2: LEV,0.4832951
9: 2SA,2: LEV,0.40285486
10: 1KI,2: LEV,0.5329306
11: 2KI,2: LEV,0.55786693
12: 1CH,2: LEV,0.4371059
13: 2CH,2: LEV,0.5892663
14: EZR,2: LEV,0.65648526
15: NEH,2: LEV,0.44842455
16: EST,2: LEV,0.64043945
17: JOB,2: LEV,0.42566544
18: PSA,2: LEV,0.40781602
19: PRO,2: LEV,0.41066802
20: ECC,2: LEV,0.49766123
21: SNG,2: LEV,0.5128448
22: ISA,2: LEV,0.42803282
23: JER,2: LEV,0.5076147
24: LAM,2: LEV,0.6452367
25: EZK,2: LEV,0.63313395
26: DAN,2: LEV,0.4456696
27: HOS,2: LEV,0.56485057
28: JOL,2: LEV,0.62624186
29: AMO,2: LEV,0.66207784
30: OBA,2: LEV,0.6309938
31: JON,2: LEV,0.61627245
32: MIC,2: LEV,0.58838713
33: NAM,2: LEV,0.60951227
34: HAB,2: LEV,0.5956358
35: ZEP,2: LEV,0.6345962
36: HAG,2: LEV,0.7578554
37: ZEC,2: LEV,0.66939133
38: MAL,2: LEV,0.7033357
54: MAT,2: LEV,0.5108835
55: MRK,2: LEV,0.549875
56: LUK,2: LEV,0.5505019
57: JHN,2: LEV,0.49660105
58: ACT,2: LEV,0.48390383
59: ROM,2: LEV,0.49453473
60: 1CO,2: LEV,0.5003932
61: 2CO,2: LEV,0.51572657
62: GAL,2: LEV,0.58729196
63: EPH,2: LEV,0.56251174
64: PHP,2: LEV,0.56255907
65: COL,2: LEV,0.62766445
66: 1TH,2: LEV,0.59129196
67: 2TH,2: LEV,0.63877726
68: 1TI,2: LEV,0.5655396
69: 2TI,2: LEV,0.61271554
70: TIT,2: LEV,0.6656148
71: PHM,2: LEV,0.65977913
72: HEB,2: LEV,0.7191989
73: JAS,2: LEV,0.6706261
74: 1PE,2: LEV,0.6305354
75: 2PE,2: LEV,0.70330256
76: 1JN,2: LEV,0.578333
77: 2JN,2: LEV,0.70298207
78: 3JN,2: LEV,0.6919986
79: JUD,2: LEV,0.708769
80: REV,2: LEV,0.46541944
0: GEN,3: NUM,0.4781543
1: EXO,3: NUM,0.5886725
2: LEV,3: NUM,0.67374116
3: NUM,3: NUM,0.99999994
4: DEU,3: NUM,0.4074746
5: JOS,3: NUM,0.42301482
6: JDG,3: NUM,0.5016924
7: RUT,3: NUM,0.699813
8: 1SA,3: NUM,0.63938534
9: 2SA,3: NUM,0.52911556
10: 1KI,3: NUM,0.5581751
11: 2KI,3: NUM,0.61816216
12: 1CH,3: NUM,0.5503091
13: 2CH,3: NUM,0.64442885
14: EZR,3: NUM,0.7352962
15: NEH,3: NUM,0.5855402
16: EST,3: NUM,0.55416715
17: JOB,3: NUM,0.37477297
18: PSA,3: NUM,0.3980548
19: PRO,3: NUM,0.27641615
20: ECC,3: NUM,0.42255768
21: SNG,3: NUM,0.5352633
22: ISA,3: NUM,0.44575652
23: JER,3: NUM,0.5544541
24: LAM,3: NUM,0.5778144
25: EZK,3: NUM,0.61820275
26: DAN,3: NUM,0.429875
27: HOS,3: NUM,0.54955
28: JOL,3: NUM,0.6891642
29: AMO,3: NUM,0.63752645
30: OBA,3: NUM,0.6798834
31: JON,3: NUM,0.65399253
32: MIC,3: NUM,0.5946907
33: NAM,3: NUM,0.5821801
34: HAB,3: NUM,0.5227774
35: ZEP,3: NUM,0.67070764
36: HAG,3: NUM,0.7829667
37: ZEC,3: NUM,0.6463409
38: MAL,3: NUM,0.72810507
54: MAT,3: NUM,0.4817589
55: MRK,3: NUM,0.5012165
56: LUK,3: NUM,0.5470201
57: JHN,3: NUM,0.46605098
58: ACT,3: NUM,0.5306981
59: ROM,3: NUM,0.5685751
60: 1CO,3: NUM,0.55524343
61: 2CO,3: NUM,0.5699093
62: GAL,3: NUM,0.6393246
63: EPH,3: NUM,0.5757592
64: PHP,3: NUM,0.5897218
65: COL,3: NUM,0.6136151
66: 1TH,3: NUM,0.6598652
67: 2TH,3: NUM,0.6603466
68: 1TI,3: NUM,0.54525465
69: 2TI,3: NUM,0.6317889
70: TIT,3: NUM,0.6905523
71: PHM,3: NUM,0.67970264
72: HEB,3: NUM,0.62351453
73: JAS,3: NUM,0.614047
74: 1PE,3: NUM,0.6162717
75: 2PE,3: NUM,0.65623665
76: 1JN,3: NUM,0.49944824
77: 2JN,3: NUM,0.71478087
78: 3JN,3: NUM,0.70761716
79: JUD,3: NUM,0.71786016
80: REV,3: NUM,0.39824268
0: GEN,4: DEU,0.5676791
1: EXO,4: DEU,0.69803566
2: LEV,4: DEU,0.4952625
3: NUM,4: DEU,0.4074746
4: DEU,4: DEU,1
5: JOS,4: DEU,0.5424769
6: JDG,4: DEU,0.46259868
7: RUT,4: DEU,0.61039984
8: 1SA,4: DEU,0.5043358
9: 2SA,4: DEU,0.50810313
10: 1KI,4: DEU,0.63789994
11: 2KI,4: DEU,0.6038754
12: 1CH,4: DEU,0.36784866
13: 2CH,4: DEU,0.6247356
14: EZR,4: DEU,0.6503136
15: NEH,4: DEU,0.5970751
16: EST,4: DEU,0.57693386
17: JOB,4: DEU,0.5135368
18: PSA,4: DEU,0.5357743
19: PRO,4: DEU,0.49952126
20: ECC,4: DEU,0.7545618
21: SNG,4: DEU,0.5215234
22: ISA,4: DEU,0.52579814
23: JER,4: DEU,0.68027836
24: LAM,4: DEU,0.63621783
25: EZK,4: DEU,0.66484517
26: DAN,4: DEU,0.61911863
27: HOS,4: DEU,0.58790267
28: JOL,4: DEU,0.69112504
29: AMO,4: DEU,0.74312615
30: OBA,4: DEU,0.7557733
31: JON,4: DEU,0.73898363
32: MIC,4: DEU,0.73094064
33: NAM,4: DEU,0.7181336
34: HAB,4: DEU,0.77089393
35: ZEP,4: DEU,0.7321346
36: HAG,4: DEU,0.7493468
37: ZEC,4: DEU,0.7293438
38: MAL,4: DEU,0.7964123
54: MAT,4: DEU,0.5145084
55: MRK,4: DEU,0.4894699
56: LUK,4: DEU,0.5367372
57: JHN,4: DEU,0.49894378
58: ACT,4: DEU,0.53270906
59: ROM,4: DEU,0.42330864
60: 1CO,4: DEU,0.3919087
61: 2CO,4: DEU,0.5033087
62: GAL,4: DEU,0.5547228
63: EPH,4: DEU,0.51406544
64: PHP,4: DEU,0.5594854
65: COL,4: DEU,0.5888255
66: 1TH,4: DEU,0.669346
67: 2TH,4: DEU,0.71596926
68: 1TI,4: DEU,0.5943526
69: 2TI,4: DEU,0.6103795
70: TIT,4: DEU,0.66119057
71: PHM,4: DEU,0.6807884
72: HEB,4: DEU,0.5521239
73: JAS,4: DEU,0.6592504
74: 1PE,4: DEU,0.6309444
75: 2PE,4: DEU,0.7063468
76: 1JN,4: DEU,0.6492676
77: 2JN,4: DEU,0.70294166
78: 3JN,4: DEU,0.72462904
79: JUD,4: DEU,0.70729536
80: REV,4: DEU,0.4168609
0: GEN,5: JOS,0.564212
1: EXO,5: JOS,0.60908115
2: LEV,5: JOS,0.4047964
3: NUM,5: JOS,0.42301482
4: DEU,5: JOS,0.5424769
5: JOS,5: JOS,0.99999994
6: JDG,5: JOS,0.628789
7: RUT,5: JOS,0.7040315
8: 1SA,5: JOS,0.5035509
9: 2SA,5: JOS,0.57818985
10: 1KI,5: JOS,0.5428848
11: 2KI,5: JOS,0.6523498
12: 1CH,5: JOS,0.63074535
13: 2CH,5: JOS,0.58224356
14: EZR,5: JOS,0.53096795
15: NEH,5: JOS,0.50508595
16: EST,5: JOS,0.4706013
17: JOB,5: JOS,0.31109217
18: PSA,5: JOS,0.33996618
19: PRO,5: JOS,0.30734777
20: ECC,5: JOS,0.30487868
21: SNG,5: JOS,0.59200233
22: ISA,5: JOS,0.45272762
23: JER,5: JOS,0.51763487
24: LAM,5: JOS,0.5352767
25: EZK,5: JOS,0.41419485
26: DAN,5: JOS,0.42879134
27: HOS,5: JOS,0.54857385
28: JOL,5: JOS,0.6252177
29: AMO,5: JOS,0.62235695
30: OBA,5: JOS,0.7164573
31: JON,5: JOS,0.70540476
32: MIC,5: JOS,0.62267935
33: NAM,5: JOS,0.616697
34: HAB,5: JOS,0.5617488
35: ZEP,5: JOS,0.67649823
36: HAG,5: JOS,0.69187087
37: ZEC,5: JOS,0.68750644
38: MAL,5: JOS,0.62925416
54: MAT,5: JOS,0.5177455
55: MRK,5: JOS,0.57473636
56: LUK,5: JOS,0.56646526
57: JHN,5: JOS,0.47647953
58: ACT,5: JOS,0.4435805
59: ROM,5: JOS,0.4282804
60: 1CO,5: JOS,0.39565504
61: 2CO,5: JOS,0.4440244
62: GAL,5: JOS,0.5349255
63: EPH,5: JOS,0.40600902
64: PHP,5: JOS,0.52860856
65: COL,5: JOS,0.45893347
66: 1TH,5: JOS,0.6153172
67: 2TH,5: JOS,0.6099699
68: 1TI,5: JOS,0.49683014
69: 2TI,5: JOS,0.5654649
70: TIT,5: JOS,0.61710715
71: PHM,5: JOS,0.6498175
72: HEB,5: JOS,0.49531046
73: JAS,5: JOS,0.5106278
74: 1PE,5: JOS,0.49172914
75: 2PE,5: JOS,0.58581036
76: 1JN,5: JOS,0.5205993
77: 2JN,5: JOS,0.68643004
78: 3JN,5: JOS,0.64746356
79: JUD,5: JOS,0.6375646
80: REV,5: JOS,0.45089817
0: GEN,6: JDG,0.60673743
1: EXO,6: JDG,0.5951103
2: LEV,6: JDG,0.4282982
3: NUM,6: JDG,0.5016924
4: DEU,6: JDG,0.46259868
5: JOS,6: JDG,0.628789
6: JDG,6: JDG,0.9999997
7: RUT,6: JDG,0.7396158
8: 1SA,6: JDG,0.49653476
9: 2SA,6: JDG,0.50392616
10: 1KI,6: JDG,0.49980715
11: 2KI,6: JDG,0.6877921
12: 1CH,6: JDG,0.5139514
13: 2CH,6: JDG,0.5559762
14: EZR,6: JDG,0.4982287
15: NEH,6: JDG,0.46978056
16: EST,6: JDG,0.43350428
17: JOB,6: JDG,0.42034942
18: PSA,6: JDG,0.42553866
19: PRO,6: JDG,0.374
20: ECC,6: JDG,0.3750393
21: SNG,6: JDG,0.6664946
22: ISA,6: JDG,0.4891447
23: JER,6: JDG,0.5191541
24: LAM,6: JDG,0.62063134
25: EZK,6: JDG,0.4560195
26: DAN,6: JDG,0.4391118
27: HOS,6: JDG,0.66736466
28: JOL,6: JDG,0.7006964
29: AMO,6: JDG,0.67172426
30: OBA,6: JDG,0.71409476
31: JON,6: JDG,0.7384012
32: MIC,6: JDG,0.6961484
33: NAM,6: JDG,0.6934578
34: HAB,6: JDG,0.6068304
35: ZEP,6: JDG,0.6847164
36: HAG,6: JDG,0.69280565
37: ZEC,6: JDG,0.67788315
38: MAL,6: JDG,0.63842016
54: MAT,6: JDG,0.52451307
55: MRK,6: JDG,0.56797856
56: LUK,6: JDG,0.5581418
57: JHN,6: JDG,0.5269837
58: ACT,6: JDG,0.48432517
59: ROM,6: JDG,0.41588083
60: 1CO,6: JDG,0.41392252
61: 2CO,6: JDG,0.38860977
62: GAL,6: JDG,0.5062169
63: EPH,6: JDG,0.43103975
64: PHP,6: JDG,0.50339454
65: COL,6: JDG,0.47737813
66: 1TH,6: JDG,0.61213356
67: 2TH,6: JDG,0.62135136
68: 1TI,6: JDG,0.5169909
69: 2TI,6: JDG,0.60644144
70: TIT,6: JDG,0.61319494
71: PHM,6: JDG,0.6601775
72: HEB,6: JDG,0.47028998
73: JAS,6: JDG,0.55532855
74: 1PE,6: JDG,0.49694228
75: 2PE,6: JDG,0.6029891
76: 1JN,6: JDG,0.5846316
77: 2JN,6: JDG,0.6905923
78: 3JN,6: JDG,0.6653579
79: JUD,6: JDG,0.63767654
80: REV,6: JDG,0.46692535
0: GEN,7: RUT,0.80263907
1: EXO,7: RUT,0.6980662
2: LEV,7: RUT,0.59792227
3: NUM,7: RUT,0.699813
4: DEU,7: RUT,0.61039984
5: JOS,7: RUT,0.7040315
6: JDG,7: RUT,0.7396158
7: RUT,7: RUT,0.9999998
8: 1SA,7: RUT,0.7572148
9: 2SA,7: RUT,0.7730419
10: 1KI,7: RUT,0.6659802
11: 2KI,7: RUT,0.72676486
12: 1CH,7: RUT,0.7186697
13: 2CH,7: RUT,0.7036009
14: EZR,7: RUT,0.6426057
15: NEH,7: RUT,0.60716105
16: EST,7: RUT,0.6151538
17: JOB,7: RUT,0.59946525
18: PSA,7: RUT,0.66090465
19: PRO,7: RUT,0.5935198
20: ECC,7: RUT,0.6596361
21: SNG,7: RUT,0.84716254
22: ISA,7: RUT,0.5992086
23: JER,7: RUT,0.7143931
24: LAM,7: RUT,0.7941891
25: EZK,7: RUT,0.6769917
26: DAN,7: RUT,0.5416187
27: HOS,7: RUT,0.7645426
28: JOL,7: RUT,0.85852623
29: AMO,7: RUT,0.8335479
30: OBA,7: RUT,0.9365553
31: JON,7: RUT,0.925619
32: MIC,7: RUT,0.8473037
33: NAM,7: RUT,0.89075035
34: HAB,7: RUT,0.82988626
35: ZEP,7: RUT,0.8789032
36: HAG,7: RUT,0.90403986
37: ZEC,7: RUT,0.80569017
38: MAL,7: RUT,0.8830596
54: MAT,7: RUT,0.75410336
55: MRK,7: RUT,0.7251493
56: LUK,7: RUT,0.79649246
57: JHN,7: RUT,0.7237869
58: ACT,7: RUT,0.6376398
59: ROM,7: RUT,0.65584016
60: 1CO,7: RUT,0.63577586
61: 2CO,7: RUT,0.68885
62: GAL,7: RUT,0.79730844
63: EPH,7: RUT,0.69104064
64: PHP,7: RUT,0.8057826
65: COL,7: RUT,0.7567405
66: 1TH,7: RUT,0.86709505
67: 2TH,7: RUT,0.8761445
68: 1TI,7: RUT,0.77644396
69: 2TI,7: RUT,0.85928965
70: TIT,7: RUT,0.87956697
71: PHM,7: RUT,0.9027417
72: HEB,7: RUT,0.7049292
73: JAS,7: RUT,0.8450802
74: 1PE,7: RUT,0.79086673
75: 2PE,7: RUT,0.8848094
76: 1JN,7: RUT,0.79632163
77: 2JN,7: RUT,0.927485
78: 3JN,7: RUT,0.91525954
79: JUD,7: RUT,0.89911246
80: REV,7: RUT,0.58930665
0: GEN,8: 1SA,0.5788565
1: EXO,8: 1SA,0.6468896
2: LEV,8: 1SA,0.4832951
3: NUM,8: 1SA,0.63938534
4: DEU,8: 1SA,0.5043358
5: JOS,8: 1SA,0.5035509
6: JDG,8: 1SA,0.49653476
7: RUT,8: 1SA,0.7572148
8: 1SA,8: 1SA,1.0000001
9: 2SA,8: 1SA,0.63044375
10: 1KI,8: 1SA,0.5231146
11: 2KI,8: 1SA,0.6174031
12: 1CH,8: 1SA,0.5740751
13: 2CH,8: 1SA,0.6161259
14: EZR,8: 1SA,0.51442134
15: NEH,8: 1SA,0.42230427
16: EST,8: 1SA,0.500975
17: JOB,8: 1SA,0.46282113
18: PSA,8: 1SA,0.50607705
19: PRO,8: 1SA,0.3742481
20: ECC,8: 1SA,0.52990234
21: SNG,8: 1SA,0.4856302
22: ISA,8: 1SA,0.4739868
23: JER,8: 1SA,0.5752568
24: LAM,8: 1SA,0.5551152
25: EZK,8: 1SA,0.52716064
26: DAN,8: 1SA,0.57325774
27: HOS,8: 1SA,0.5412618
28: JOL,8: 1SA,0.63924694
29: AMO,8: 1SA,0.6663277
30: OBA,8: 1SA,0.70983803
31: JON,8: 1SA,0.7212261
32: MIC,8: 1SA,0.6441354
33: NAM,8: 1SA,0.642152
34: HAB,8: 1SA,0.6039125
35: ZEP,8: 1SA,0.6969214
36: HAG,8: 1SA,0.74400866
37: ZEC,8: 1SA,0.6820963
38: MAL,8: 1SA,0.70275295
54: MAT,8: 1SA,0.44478992
55: MRK,8: 1SA,0.4972047
56: LUK,8: 1SA,0.5383378
57: JHN,8: 1SA,0.4780427
58: ACT,8: 1SA,0.5868954
59: ROM,8: 1SA,0.44007462
60: 1CO,8: 1SA,0.36551386
61: 2CO,8: 1SA,0.5049229
62: GAL,8: 1SA,0.54578704
63: EPH,8: 1SA,0.49661255
64: PHP,8: 1SA,0.55981845
65: COL,8: 1SA,0.5471403
66: 1TH,8: 1SA,0.65080374
67: 2TH,8: 1SA,0.6615252
68: 1TI,8: 1SA,0.52879786
69: 2TI,8: 1SA,0.61581343
70: TIT,8: 1SA,0.65885645
71: PHM,8: 1SA,0.64421755
72: HEB,8: 1SA,0.57721084
73: JAS,8: 1SA,0.5870885
74: 1PE,8: 1SA,0.58332187
75: 2PE,8: 1SA,0.68484616
76: 1JN,8: 1SA,0.54013836
77: 2JN,8: 1SA,0.7021103
78: 3JN,8: 1SA,0.69749874
79: JUD,8: 1SA,0.68958306
80: REV,8: 1SA,0.38841733
0: GEN,9: 2SA,0.5915781
1: EXO,9: 2SA,0.6645615
2: LEV,9: 2SA,0.40285486
3: NUM,9: 2SA,0.52911556
4: DEU,9: 2SA,0.50810313
5: JOS,9: 2SA,0.57818985
6: JDG,9: 2SA,0.50392616
7: RUT,9: 2SA,0.7730419
8: 1SA,9: 2SA,0.63044375
9: 2SA,9: 2SA,1.0000002
10: 1KI,9: 2SA,0.5824333
11: 2KI,9: 2SA,0.4615626
12: 1CH,9: 2SA,0.68493253
13: 2CH,9: 2SA,0.52320707
14: EZR,9: 2SA,0.52577615
15: NEH,9: 2SA,0.43833014
16: EST,9: 2SA,0.5714893
17: JOB,9: 2SA,0.4087219
18: PSA,9: 2SA,0.4630185
19: PRO,9: 2SA,0.4164057
20: ECC,9: 2SA,0.560225
21: SNG,9: 2SA,0.52821594
22: ISA,9: 2SA,0.47669977
23: JER,9: 2SA,0.5077304
24: LAM,9: 2SA,0.5320766
25: EZK,9: 2SA,0.5212755
26: DAN,9: 2SA,0.45904514
27: HOS,9: 2SA,0.4710449
28: JOL,9: 2SA,0.62225324
29: AMO,9: 2SA,0.61439043
30: OBA,9: 2SA,0.72556233
31: JON,9: 2SA,0.6979358
32: MIC,9: 2SA,0.5895682
33: NAM,9: 2SA,0.64624137
34: HAB,9: 2SA,0.59338695
35: ZEP,9: 2SA,0.66334677
36: HAG,9: 2SA,0.69343925
37: ZEC,9: 2SA,0.63677055
38: MAL,9: 2SA,0.64647657
54: MAT,9: 2SA,0.5817881
55: MRK,9: 2SA,0.53398645
56: LUK,9: 2SA,0.5770798
57: JHN,9: 2SA,0.4896428
58: ACT,9: 2SA,0.5287215
59: ROM,9: 2SA,0.43326414
60: 1CO,9: 2SA,0.48779562
61: 2CO,9: 2SA,0.49266738
62: GAL,9: 2SA,0.5630207
63: EPH,9: 2SA,0.4882966
64: PHP,9: 2SA,0.57089853
65: COL,9: 2SA,0.52923894
66: 1TH,9: 2SA,0.6671295
67: 2TH,9: 2SA,0.65196836
68: 1TI,9: 2SA,0.6068203
69: 2TI,9: 2SA,0.64650357
70: TIT,9: 2SA,0.6826675
71: PHM,9: 2SA,0.67634535
72: HEB,9: 2SA,0.4649215
73: JAS,9: 2SA,0.614331
74: 1PE,9: 2SA,0.57945186
75: 2PE,9: 2SA,0.66485214
76: 1JN,9: 2SA,0.5125746
77: 2JN,9: 2SA,0.70736915
78: 3JN,9: 2SA,0.68479097
79: JUD,9: 2SA,0.6901029
80: REV,9: 2SA,0.43272206
0: GEN,10: 1KI,0.5590196
1: EXO,10: 1KI,0.5551799
2: LEV,10: 1KI,0.5329306
3: NUM,10: 1KI,0.5581751
4: DEU,10: 1KI,0.63789994
5: JOS,10: 1KI,0.5428848
6: JDG,10: 1KI,0.49980715
7: RUT,10: 1KI,0.6659802
8: 1SA,10: 1KI,0.5231146
9: 2SA,10: 1KI,0.5824333
10: 1KI,10: 1KI,0.99999976
11: 2KI,10: 1KI,0.43359727
12: 1CH,10: 1KI,0.48909858
13: 2CH,10: 1KI,0.9220533
14: EZR,10: 1KI,0.6828991
15: NEH,10: 1KI,0.48685417
16: EST,10: 1KI,0.5035596
17: JOB,10: 1KI,0.37562296
18: PSA,10: 1KI,0.42591137
19: PRO,10: 1KI,0.45660296
20: ECC,10: 1KI,0.5682729
21: SNG,10: 1KI,0.6449055
22: ISA,10: 1KI,0.4034025
23: JER,10: 1KI,0.5981123
24: LAM,10: 1KI,0.5449427
25: EZK,10: 1KI,0.60123676
26: DAN,10: 1KI,0.5486565
27: HOS,10: 1KI,0.58695525
28: JOL,10: 1KI,0.6074559
29: AMO,10: 1KI,0.6431881
30: OBA,10: 1KI,0.7084581
31: JON,10: 1KI,0.6577551
32: MIC,10: 1KI,0.5938346
33: NAM,10: 1KI,0.6444599
34: HAB,10: 1KI,0.6619925
35: ZEP,10: 1KI,0.6758824
36: HAG,10: 1KI,0.7558944
37: ZEC,10: 1KI,0.72351706
38: MAL,10: 1KI,0.7599635
54: MAT,10: 1KI,0.5567503
55: MRK,10: 1KI,0.5139086
56: LUK,10: 1KI,0.5766233
57: JHN,10: 1KI,0.48300385
58: ACT,10: 1KI,0.44978875
59: ROM,10: 1KI,0.48275098
60: 1CO,10: 1KI,0.43549764
61: 2CO,10: 1KI,0.5257784
62: GAL,10: 1KI,0.580665
63: EPH,10: 1KI,0.5858717
64: PHP,10: 1KI,0.5873456
65: COL,10: 1KI,0.62481636
66: 1TH,10: 1KI,0.66837907
67: 2TH,10: 1KI,0.68494225
68: 1TI,10: 1KI,0.60800636
69: 2TI,10: 1KI,0.6502655
70: TIT,10: 1KI,0.68123466
71: PHM,10: 1KI,0.6901716
72: HEB,10: 1KI,0.51296556
73: JAS,10: 1KI,0.6263496
74: 1PE,10: 1KI,0.6220408
75: 2PE,10: 1KI,0.66542345
76: 1JN,10: 1KI,0.5734413
77: 2JN,10: 1KI,0.7149175
78: 3JN,10: 1KI,0.73055744
79: JUD,10: 1KI,0.7273279
80: REV,10: 1KI,0.47167718
0: GEN,11: 2KI,0.56568044
1: EXO,11: 2KI,0.640984
2: LEV,11: 2KI,0.55786693
3: NUM,11: 2KI,0.61816216
4: DEU,11: 2KI,0.6038754
5: JOS,11: 2KI,0.6523498
6: JDG,11: 2KI,0.6877921
7: RUT,11: 2KI,0.72676486
8: 1SA,11: 2KI,0.6174031
9: 2SA,11: 2KI,0.4615626
10: 1KI,11: 2KI,0.43359727
11: 2KI,11: 2KI,1.0000001
12: 1CH,11: 2KI,0.3395853
13: 2CH,11: 2KI,0.57920957
14: EZR,11: 2KI,0.5258722
15: NEH,11: 2KI,0.48739552
16: EST,11: 2KI,0.61331695
17: JOB,11: 2KI,0.390845
18: PSA,11: 2KI,0.4282419
19: PRO,11: 2KI,0.41063005
20: ECC,11: 2KI,0.45386815
21: SNG,11: 2KI,0.5785348
22: ISA,11: 2KI,0.56155187
23: JER,11: 2KI,0.5444154
24: LAM,11: 2KI,0.6286302
25: EZK,11: 2KI,0.5221253
26: DAN,11: 2KI,0.55561125
27: HOS,11: 2KI,0.6243754
28: JOL,11: 2KI,0.7050599
29: AMO,11: 2KI,0.7113961
